,state_abbr,STATEFP,electoral_votes,dem_votes,rep_votes,ind_votes,votes_total
0,AL,01,9,718084,1306925,53156,2078165
1,AK,02,3,116454,163387,38767,318608
2,AZ,04,11,936250,1021154,105406,2062810
3,AR,05,6,378729,677904,51982,1108615
4,CA,06,55,5931283,3184721,515968,9631972
5,CO,08,9,1212209,1137455,214521,2564185
6,CT,09,7,884432,668266,70844,1623542
7,DE,10,3,235581,185103,20851,441535
8,DC,11,3,260223,11553,8496,280272
9,FL,12,29,4485745,4605515,295490,9386750
10,GA,13,16,1837300,2068623,123641,4029564
11,HI,15,4,266827,128815,33183,428825
12,ID,16,4,189677,407199,91359,688235
13,IL,17,20,2977498,2118179,278603,5374280
14,IN,18,11,1031953,1556220,133856,2722029
15,IA,19,6,650790,798923,93167,1542880
16,KS,20,6,414788,656009,76346,1147143
17,KY,21,8,628834,1202942,90442,1922218
18,LA,22,8,779535,1178004,70192,2027731
19,ME,23,4,354873,334838,51839,741550
20,MD,24,10,1497951,873646,102946,2474543
21,MA,25,11,1964768,1083069,183694,3231531
22,MI,26,16,2267373,2279210,242867,4789450
23,MN,27,10,1366676,1322891,226837,2916404
24,MS,28,6,462001,678457,22529,1162987
25,MO,29,10,1054889,1585753,134456,2775098
26,MT,30,3,174521,274120,34933,483574
27,NE,31,5,273858,485819,45961,805638
28,NV,32,6,537753,511319,73918,1122990
29,NH,33,4,348126,345598,36904,730628
30,NJ,34,14,2021756,1535513,117624,3674893
31,NM,35,5,380724,315875,86528,783127
32,NY,36,29,4143874,2640570,261731,7046175
33,NC,37,15,2162074,2339603,127794,4629471
34,ND,38,3,93526,216133,27309,336968
35,OH,39,18,2317001,2771984,236410,5325395
36,OK,40,7,419788,947934,83334,1451056
37,OR,41,7,934631,742506,131438,1808575
38,PA,42,20,2844705,2912941,212461,5970107
39,RI,44,4,249902,179421,20798,450121
40,SC,45,9,849469,1143611,91364,2084444
41,SD,46,3,117442,227701,24904,370047
42,TN,47,11,867110,1517402,100179,2484691
43,TX,48,38,3867816,4681590,353831,8903237
44,UT,49,6,237241,397004,218216,852461
45,VT,50,3,178179,95053,18181,291413
46,VA,51,13,1916845,1731156,196786,3844787
47,WA,53,12,1523720,1043648,198259,2765627
48,WV,54,5,187457,486198,34571,708226
49,WI,55,10,1382210,1409467,152943,2944620
50,WY,56,3,55949,174248,18545,248742
