,District,DemVotes,RepVotes,Year
0,1,23609.0,27277.0,2006
1,2,6538.0,29545.0,2006
2,3,20166.0,29036.0,2006
3,4,19634.0,24885.0,2006
4,5,27654.0,17090.0,2006
5,6,15997.0,24368.0,2006
6,7,27113.0,10391.0,2006
7,8,8844.0,1361.0,2006
8,9,18347.0,4601.0,2006
9,10,27347.0,1630.0,2006
10,11,23538.0,1679.0,2006
11,12,24767.0,5155.0,2006
12,13,30225.0,16865.0,2006
13,14,19621.0,31265.0,2006
14,15,24121.0,9175.0,2006
15,16,20627.0,1601.0,2006
16,17,28090.0,2240.0,2006
17,18,19542.0,2110.0,2006
18,19,35956.0,6465.0,2006
19,20,28619.0,8521.0,2006
20,21,10498.0,26758.0,2006
21,22,37530.0,10207.0,2006
22,23,20847.0,26541.0,2006
23,24,8116.0,37591.0,2006
24,25,22194.0,17025.0,2006
25,26,26494.0,10572.0,2006
26,27,10655.0,33074.0,2006
27,28,20631.0,19950.0,2006
28,29,19486.0,20905.0,2006
29,30,18895.0,25491.0,2006
30,31,16405.0,31087.0,2006
31,32,16501.0,19151.0,2006
32,33,14571.0,36830.0,2006
33,34,21549.0,27512.0,2006
34,35,13442.0,23015.0,2006
35,36,17613.0,20805.0,2006
36,37,22056.0,19952.0,2006
37,38,15486.0,30782.0,2006
38,39,14214.0,23674.0,2006
39,40,18692.0,20798.0,2006
40,41,12846.0,27199.0,2006
41,42,19046.0,21946.0,2006
42,43,20722.0,20397.0,2006
43,44,25437.0,11742.0,2006
44,45,23102.0,9204.0,2006
45,46,34502.0,11167.0,2006
46,47,23947.0,24177.0,2006
47,48,41548.0,13377.0,2006
48,49,18438.0,16465.0,2006
49,50,16484.0,21825.0,2006
50,51,22055.0,19400.0,2006
51,52,7947.0,24989.0,2006
52,53,9322.0,29158.0,2006
53,54,25793.0,15747.0,2006
54,55,17787.0,19495.0,2006
55,56,21392.0,30979.0,2006
56,57,20615.0,23386.0,2006
57,58,7101.0,33885.0,2006
58,59,2792.0,39123.0,2006
59,60,8591.0,36560.0,2006
60,61,19487.0,7058.0,2006
61,62,20619.0,18724.0,2006
62,63,20584.0,28647.0,2006
63,64,19552.0,6566.0,2006
64,65,22749.0,11060.0,2006
65,66,7704.0,26783.0,2006
66,67,19145.0,22473.0,2006
67,68,21394.0,22364.0,2006
68,69,13482.0,24306.0,2006
69,70,28562.0,14385.0,2006
70,71,30543.0,12954.0,2006
71,72,27065.0,15685.0,2006
72,73,28971.0,6690.0,2006
73,74,26201.0,15748.0,2006
74,75,20958.0,13236.0,2006
75,76,43402.0,7483.0,2006
76,77,42189.0,6571.0,2006
77,78,44695.0,3928.0,2006
78,79,42953.0,12800.0,2006
79,80,22423.0,22917.0,2006
80,81,34621.0,9853.0,2006
81,82,9348.0,33615.0,2006
82,83,16022.0,35080.0,2006
83,84,8959.0,36300.0,2006
84,85,25172.0,13930.0,2006
85,86,16104.0,28335.0,2006
86,87,19974.0,20417.0,2006
87,88,17855.0,17662.0,2006
88,89,19877.0,23546.0,2006
89,90,17886.0,22246.0,2006
90,91,27814.0,12180.0,2006
91,92,16774.0,19784.0,2006
92,93,23416.0,22953.0,2006
93,94,16422.0,25612.0,2006
94,95,31100.0,5944.0,2006
95,96,18873.0,19476.0,2006
96,97,16628.0,21170.0,2006
97,98,15856.0,38662.0,2006
98,99,7613.0,38829.0,2006
99,1,14913.0,15718.0,2008
100,2,15951.0,14538.0,2008
101,3,14288.0,19471.0,2008
102,4,13623.0,14971.0,2008
103,5,18844.0,11003.0,2008
104,6,11600.0,14207.0,2008
105,7,16591.0,10623.0,2008
106,8,8092.0,1947.0,2008
107,9,11598.0,6494.0,2008
108,10,21367.0,2020.0,2008
109,11,20247.0,2013.0,2008
110,12,17900.0,6596.0,2008
111,13,16157.0,13641.0,2008
112,14,11817.0,19311.0,2008
113,15,15583.0,10245.0,2008
114,16,18521.0,3141.0,2008
115,17,21695.0,2636.0,2008
116,18,16748.0,2522.0,2008
117,19,21893.0,9851.0,2008
118,20,14969.0,12549.0,2008
119,21,14013.0,15593.0,2008
120,22,21971.0,10727.0,2008
121,23,12964.0,17777.0,2008
122,24,12463.0,20372.0,2008
123,25,12321.0,13303.0,2008
124,26,15698.0,8679.0,2008
125,27,10814.0,20502.0,2008
126,28,16344.0,13182.0,2008
127,29,14067.0,17559.0,2008
128,30,16225.0,19667.0,2008
129,31,11232.0,21973.0,2008
130,32,10896.0,13691.0,2008
131,33,10470.0,24691.0,2008
132,34,16047.0,16256.0,2008
133,35,11712.0,15371.0,2008
134,36,12096.0,12996.0,2008
135,37,17715.0,12268.0,2008
136,38,10224.0,20147.0,2008
137,39,10636.0,16016.0,2008
138,40,10475.0,14666.0,2008
139,41,9797.0,16601.0,2008
140,42,15915.0,11280.0,2008
141,43,15353.0,14352.0,2008
142,44,14870.0,8249.0,2008
143,45,16273.0,10818.0,2008
144,46,22318.0,11386.0,2008
145,47,15559.0,15451.0,2008
146,48,24083.0,9091.0,2008
147,49,13802.0,11726.0,2008
148,50,11126.0,14325.0,2008
149,51,15809.0,11990.0,2008
150,52,10411.0,14460.0,2008
151,53,11424.0,18460.0,2008
152,54,17498.0,9078.0,2008
153,55,12082.0,14095.0,2008
154,56,14303.0,20919.0,2008
155,57,15127.0,11557.0,2008
156,58,10352.0,21927.0,2008
157,59,9806.0,23363.0,2008
158,60,9818.0,23265.0,2008
159,61,13881.0,7177.0,2008
160,62,15339.0,11749.0,2008
161,63,12586.0,20125.0,2008
162,64,13824.0,7462.0,2008
163,65,17940.0,11092.0,2008
164,66,12835.0,17962.0,2008
165,67,13560.0,14121.0,2008
166,68,15812.0,15184.0,2008
167,69,9904.0,14409.0,2008
168,70,19507.0,8595.0,2008
169,71,19802.0,8977.0,2008
170,72,16836.0,10174.0,2008
171,73,16921.0,11442.0,2008
172,74,17913.0,10786.0,2008
173,75,13016.0,13667.0,2008
174,76,24895.0,7590.0,2008
175,77,23094.0,7029.0,2008
176,78,26288.0,4678.0,2008
177,79,27173.0,13535.0,2008
178,80,13492.0,17257.0,2008
179,81,20590.0,10770.0,2008
180,82,13376.0,20166.0,2008
181,83,9133.0,24785.0,2008
182,84,11980.0,22210.0,2008
183,85,16500.0,9358.0,2008
184,86,14125.0,17463.0,2008
185,87,12597.0,12830.0,2008
186,88,12987.0,10433.0,2008
187,89,12670.0,14641.0,2008
188,90,12221.0,13851.0,2008
189,91,14326.0,11548.0,2008
190,92,13438.0,11780.0,2008
191,93,18702.0,13050.0,2008
192,94,15268.0,17569.0,2008
193,95,17914.0,10299.0,2008
194,96,11993.0,12858.0,2008
195,97,11965.0,14973.0,2008
196,98,9827.0,24736.0,2008
197,99,10732.0,25640.0,2008
198,1,9996.0,13976.0,2010
199,2,8446.0,13672.0,2010
200,3,8239.0,15343.0,2010
201,4,8291.0,12554.0,2010
202,5,8832.0,12719.0,2010
203,6,7702.0,11082.0,2010
204,7,11769.0,8632.0,2010
205,8,4252.0,1158.0,2010
206,9,6786.0,4607.0,2010
207,10,15109.0,1509.0,2010
208,11,14382.0,1470.0,2010
209,12,13409.0,4906.0,2010
210,13,13772.0,488.0,2010
211,14,1172.0,15903.0,2010
212,15,9181.0,9209.0,2010
213,16,11592.0,1614.0,2010
214,17,16915.0,1984.0,2010
215,18,11295.0,1950.0,2010
216,19,14978.0,6764.0,2010
217,20,10904.0,9516.0,2010
218,21,8061.0,13597.0,2010
219,22,16765.0,10027.0,2010
220,23,9986.0,13190.0,2010
221,24,6905.0,20338.0,2010
222,25,6367.0,3288.0,2010
223,26,8279.0,9154.0,2010
224,27,5990.0,17327.0,2010
225,28,8429.0,11550.0,2010
226,29,7421.0,12403.0,2010
227,30,8631.0,14094.0,2010
228,31,5508.0,18892.0,2010
229,32,5093.0,10967.0,2010
230,33,5574.0,20933.0,2010
231,34,7358.0,14627.0,2010
232,35,8476.0,11788.0,2010
233,36,7561.0,10871.0,2010
234,37,11853.0,11074.0,2010
235,38,6352.0,16976.0,2010
236,39,5317.0,13001.0,2010
237,40,5614.0,12656.0,2010
238,41,5140.0,13117.0,2010
239,42,10030.0,9751.0,2010
240,43,9631.0,10589.0,2010
241,44,7668.0,8114.0,2010
242,45,8018.0,9701.0,2010
243,46,15607.0,10653.0,2010
244,47,10990.0,14478.0,2010
245,48,20390.0,6842.0,2010
246,49,7753.0,10294.0,2010
247,50,7038.0,11364.0,2010
248,51,9883.0,10778.0,2010
249,52,6355.0,11374.0,2010
250,53,2038.0,18034.0,2010
251,54,9444.0,7831.0,2010
252,55,5670.0,11310.0,2010
253,56,852.0,21416.0,2010
254,57,9736.0,9649.0,2010
255,58,5093.0,18180.0,2010
256,59,4699.0,19863.0,2010
257,60,6278.0,19014.0,2010
258,61,7333.0,6594.0,2010
259,62,10373.0,8514.0,2010
260,63,6025.0,18815.0,2010
261,64,8764.0,969.0,2010
262,65,6405.0,10383.0,2010
263,66,7445.0,13765.0,2010
264,67,6530.0,12527.0,2010
265,68,10878.0,10854.0,2010
266,69,7412.0,8949.0,2010
267,70,11207.0,9971.0,2010
268,71,11950.0,9091.0,2010
269,72,8481.0,9448.0,2010
270,73,11028.0,8520.0,2010
271,74,11291.0,10028.0,2010
272,75,9485.0,9912.0,2010
273,76,20044.0,6639.0,2010
274,77,11992.0,4580.0,2010
275,78,21267.0,3771.0,2010
276,79,20015.0,13440.0,2010
277,80,12075.0,10780.0,2010
278,81,15778.0,10121.0,2010
279,82,6810.0,18134.0,2010
280,83,5901.0,22163.0,2010
281,84,7106.0,19998.0,2010
282,85,9907.0,8277.0,2010
283,86,7017.0,15546.0,2010
284,87,7802.0,11100.0,2010
285,88,7818.0,8231.0,2010
286,89,6318.0,13470.0,2010
287,90,7745.0,10751.0,2010
288,91,11299.0,7944.0,2010
289,92,9159.0,8861.0,2010
290,93,10633.0,10903.0,2010
291,94,9911.0,13716.0,2010
292,95,11714.0,7030.0,2010
293,96,7507.0,11851.0,2010
294,97,6099.0,13275.0,2010
295,98,6604.0,22717.0,2010
296,99,6330.0,22260.0,2010
297,1,15186.0,15963.0,2012
298,2,13030.0,17453.0,2012
299,3,12957.0,19890.0,2012
300,4,12237.0,15313.0,2012
301,5,13240.0,17086.0,2012
302,6,9785.0,15944.0,2012
303,7,12836.0,12904.0,2012
304,8,10082.0,1656.0,2012
305,9,12759.0,5520.0,2012
306,10,22720.0,1886.0,2012
307,11,21977.0,1657.0,2012
308,12,19641.0,5951.0,2012
309,13,16601.0,12662.0,2012
310,14,11927.0,18645.0,2012
311,15,12374.0,12761.0,2012
312,16,19610.0,3158.0,2012
313,17,24237.0,2233.0,2012
314,18,18373.0,2220.0,2012
315,19,21845.0,10037.0,2012
316,20,15882.0,11661.0,2012
317,21,12725.0,17619.0,2012
318,22,18612.0,12925.0,2012
319,23,14364.0,16452.0,2012
320,24,9895.0,24406.0,2012
321,25,11312.0,15019.0,2012
322,26,13595.0,10478.0,2012
323,27,12343.0,19431.0,2012
324,28,12711.0,16237.0,2012
325,29,14189.0,18044.0,2012
326,30,15899.0,19264.0,2012
327,31,10635.0,22785.0,2012
328,32,11285.0,15558.0,2012
329,33,9114.0,25963.0,2012
330,34,11811.0,17741.0,2012
331,35,11253.0,14192.0,2012
332,36,10276.0,13474.0,2012
333,37,14603.0,15288.0,2012
334,38,11024.0,20352.0,2012
335,39,11619.0,15791.0,2012
336,40,10807.0,14259.0,2012
337,41,9834.0,16343.0,2012
338,42,15168.0,12242.0,2012
339,43,17208.0,13241.0,2012
340,44,14824.0,9008.0,2012
341,45,15014.0,11839.0,2012
342,46,23107.0,12662.0,2012
343,47,17567.0,16274.0,2012
344,48,26766.0,8809.0,2012
345,49,11512.0,13756.0,2012
346,50,12272.0,13230.0,2012
347,51,15366.0,13135.0,2012
348,52,10234.0,14271.0,2012
349,53,12137.0,18544.0,2012
350,54,15623.0,10347.0,2012
351,55,13329.0,9411.0,2012
352,56,14133.0,24346.0,2012
353,57,16400.0,5648.0,2012
354,58,9396.0,23538.0,2012
355,59,9323.0,23868.0,2012
356,60,10404.0,23909.0,2012
357,61,14840.0,6366.0,2012
358,62,15706.0,11027.0,2012
359,63,13113.0,20570.0,2012
360,64,14194.0,7377.0,2012
361,65,16227.0,12309.0,2012
362,66,13329.0,18903.0,2012
363,67,13546.0,15334.0,2012
364,68,16245.0,14412.0,2012
365,69,9319.0,14831.0,2012
366,70,14139.0,13413.0,2012
367,71,16655.0,11122.0,2012
368,72,13550.0,12643.0,2012
369,73,16169.0,10767.0,2012
370,74,16811.0,11876.0,2012
371,75,13914.0,13077.0,2012
372,76,26329.0,7750.0,2012
373,77,22645.0,7385.0,2012
374,78,27414.0,5154.0,2012
375,79,29023.0,16286.0,2012
376,80,18837.0,12750.0,2012
377,81,22668.0,11411.0,2012
378,82,12275.0,20106.0,2012
379,83,10290.0,24425.0,2012
380,84,10509.0,22669.0,2012
381,85,13078.0,12358.0,2012
382,86,14320.0,17509.0,2012
383,87,10473.0,14399.0,2012
384,88,11954.0,9329.0,2012
385,89,11105.0,16679.0,2012
386,90,12082.0,11969.0,2012
387,91,13460.0,12450.0,2012
388,92,11525.0,12907.0,2012
389,93,16500.0,14117.0,2012
390,94,19939.0,13492.0,2012
391,95,16984.0,9770.0,2012
392,96,10151.0,14397.0,2012
393,97,9920.0,16184.0,2012
394,98,9733.0,26290.0,2012
395,99,9396.0,26955.0,2012
396,1,11556.0,15098.0,2014
397,2,9742.0,15320.0,2014
398,3,8250.0,15442.0,2014
399,4,9553.0,13554.0,2014
400,5,9323.0,15816.0,2014
401,6,6479.0,15647.0,2014
402,7,9999.0,10998.0,2014
403,8,5349.0,1233.0,2014
404,9,8307.0,4206.0,2014
405,10,17849.0,1454.0,2014
406,11,17332.0,1265.0,2014
407,12,15134.0,4871.0,2014
408,13,13237.0,10891.0,2014
409,14,9542.0,16710.0,2014
410,15,9104.0,10546.0,2014
411,16,13756.0,1737.0,2014
412,17,19856.0,1785.0,2014
413,18,13599.0,1885.0,2014
414,19,15621.0,7085.0,2014
415,20,12357.0,9587.0,2014
416,21,9160.0,13917.0,2014
417,22,15614.0,11217.0,2014
418,23,11975.0,14198.0,2014
419,24,7890.0,20986.0,2014
420,25,8662.0,11752.0,2014
421,26,8947.0,9201.0,2014
422,27,8803.0,16945.0,2014
423,28,7996.0,13041.0,2014
424,29,9703.0,12104.0,2014
425,30,10209.0,15564.0,2014
426,31,7854.0,20668.0,2014
427,32,6642.0,12945.0,2014
428,33,6917.0,23335.0,2014
429,34,9992.0,15467.0,2014
430,35,8011.0,13289.0,2014
431,36,7252.0,12333.0,2014
432,37,11645.0,13749.0,2014
433,38,8196.0,18466.0,2014
434,39,8351.0,13626.0,2014
435,40,6703.0,14035.0,2014
436,41,7661.0,14340.0,2014
437,42,11050.0,10929.0,2014
438,43,13415.0,9499.0,2014
439,44,11534.0,5367.0,2014
440,45,10107.0,8777.0,2014
441,46,19080.0,10404.0,2014
442,47,14723.0,14338.0,2014
443,48,25653.0,5573.0,2014
444,49,7307.0,11818.0,2014
445,50,8821.0,12060.0,2014
446,51,12109.0,10738.0,2014
447,52,8831.0,10850.0,2014
448,53,10475.0,14354.0,2014
449,54,10160.0,9417.0,2014
450,55,9502.0,10357.0,2014
451,56,10811.0,21875.0,2014
452,57,10025.0,10664.0,2014
453,58,6658.0,21088.0,2014
454,59,6597.0,21669.0,2014
455,60,8579.0,20398.0,2014
456,61,10178.0,5083.0,2014
457,62,11403.0,8634.0,2014
458,63,8741.0,19415.0,2014
459,64,8785.0,6341.0,2014
460,65,9631.0,11218.0,2014
461,66,8543.0,15780.0,2014
462,67,8842.0,13287.0,2014
463,68,13437.0,11198.0,2014
464,69,6212.0,13332.0,2014
465,70,10472.0,12387.0,2014
466,71,12534.0,9531.0,2014
467,72,10115.0,11737.0,2014
468,73,11022.0,8967.0,2014
469,74,13054.0,9805.0,2014
470,75,9228.0,11147.0,2014
471,76,23882.0,5777.0,2014
472,77,20275.0,5537.0,2014
473,78,24239.0,3845.0,2014
474,79,26580.0,12680.0,2014
475,80,15511.0,10532.0,2014
476,81,20340.0,9431.0,2014
477,82,9033.0,19026.0,2014
478,83,7782.0,23106.0,2014
479,84,8028.0,20448.0,2014
480,85,9893.0,10357.0,2014
481,86,10266.0,16194.0,2014
482,87,7040.0,13076.0,2014
483,88,8537.0,7778.0,2014
484,89,7287.0,15569.0,2014
485,90,8765.0,10502.0,2014
486,91,11393.0,10103.0,2014
487,92,9255.0,10671.0,2014
488,93,12907.0,11169.0,2014
489,94,14837.0,12703.0,2014
490,95,13405.0,7192.0,2014
491,96,8690.0,11834.0,2014
492,97,6753.0,13697.0,2014
493,98,7677.0,23245.0,2014
494,99,7058.0,24356.0,2014
495,1,12564.0,18753.0,2016
496,2,10867.0,20473.0,2016
497,3,13149.0,21397.0,2016
498,4,11746.0,16920.0,2016
499,5,11658.0,20423.0,2016
500,6,7220.0,19579.0,2016
501,7,12929.0,12269.0,2016
502,8,9183.0,1653.0,2016
503,9,12226.0,4974.0,2016
504,10,18705.0,1538.0,2016
505,11,18332.0,1369.0,2016
506,12,17592.0,5152.0,2016
507,13,17157.0,10436.0,2016
508,14,11324.0,17746.0,2016
509,15,5467.0,13800.0,2016
510,16,16369.0,2232.0,2016
511,17,20968.0,1836.0,2016
512,18,14879.0,1866.0,2016
513,19,22808.0,7258.0,2016
514,20,14756.0,11202.0,2016
515,21,11977.0,16822.0,2016
516,22,21599.0,8869.0,2016
517,23,16603.0,13166.0,2016
518,24,11510.0,21908.0,2016
519,25,8896.0,15920.0,2016
520,26,11421.0,10981.0,2016
521,27,10495.0,20610.0,2016
522,28,10113.0,18130.0,2016
523,29,12493.0,19785.0,2016
524,30,13815.0,20549.0,2016
525,31,10186.0,23736.0,2016
526,32,9977.0,17252.0,2016
527,33,10642.0,24166.0,2016
528,34,12160.0,19566.0,2016
529,35,8891.0,17069.0,2016
530,36,8645.0,16312.0,2016
531,37,14519.0,15746.0,2016
532,38,9146.0,22205.0,2016
533,39,9321.0,17465.0,2016
534,40,9204.0,16975.0,2016
535,41,8507.0,17811.0,2016
536,42,14085.0,12900.0,2016
537,43,15479.0,14012.0,2016
538,44,11929.0,8927.0,2016
539,45,12555.0,12755.0,2016
540,46,22387.0,13013.0,2016
541,47,17501.0,16952.0,2016
542,48,27916.0,8301.0,2016
543,49,10946.0,14589.0,2016
544,50,11083.0,15113.0,2016
545,51,14944.0,13183.0,2016
546,52,9371.0,15482.0,2016
547,53,10412.0,20065.0,2016
548,54,12380.0,12063.0,2016
549,55,14026.0,9254.0,2016
550,56,13108.0,26023.0,2016
551,57,15574.0,5656.0,2016
552,58,8884.0,23576.0,2016
553,59,7622.0,25423.0,2016
554,60,11928.0,21404.0,2016
555,61,12041.0,6332.0,2016
556,62,12875.0,10985.0,2016
557,63,11013.0,22102.0,2016
558,64,11957.0,8051.0,2016
559,65,13040.0,14368.0,2016
560,66,10964.0,20679.0,2016
561,67,10430.0,18839.0,2016
562,68,16039.0,15413.0,2016
563,69,7616.0,16218.0,2016
564,70,10779.0,16237.0,2016
565,71,14204.0,13435.0,2016
566,72,11809.0,14807.0,2016
567,73,13249.0,14156.0,2016
568,74,13449.0,14554.0,2016
569,75,10477.0,16804.0,2016
570,76,28296.0,6309.0,2016
571,77,25210.0,5681.0,2016
572,78,30317.0,5184.0,2016
573,79,33067.0,14149.0,2016
574,80,17202.0,14048.0,2016
575,81,23756.0,10797.0,2016
576,82,13768.0,18978.0,2016
577,83,10016.0,26217.0,2016
578,84,7446.0,23081.0,2016
579,85,11866.0,13535.0,2016
580,86,12077.0,19466.0,2016
581,87,7214.0,17347.0,2016
582,88,10815.0,11132.0,2016
583,89,8773.0,20320.0,2016
584,90,11089.0,14343.0,2016
585,91,11779.0,15343.0,2016
586,92,9857.0,15255.0,2016
587,93,15775.0,14744.0,2016
588,94,17901.0,16638.0,2016
589,95,16170.0,10226.0,2016
590,96,9994.0,14789.0,2016
591,97,10765.0,14279.0,2016
592,98,11583.0,24144.0,2016
593,99,10131.0,26789.0,2016
