State,Clinton,Trump
Alabama,35.6,64.4
Alaska,41.6,58.4
Arizona,48.1,51.9
Arkansas,35.7,64.3
California,66.1,33.9
Colorado,52.7,47.3
Connecticut,57.1,42.9
Delaware,56,44
Florida,49.4,50.6
Georgia,47.3,52.7
Hawaii,67.4,32.6
Idaho,31.7,68.3
Illinois,59,41
Indiana,39.9,60.1
Iowa,44.9,55.1
Kansas,38.9,61.1
Kentucky,34.3,65.7
Louisiana,39.8,60.2
Maine,51.6,48.4
Maryland,64,36
Massachusetts,64.7,35.3
Michigan,49.9,50.1
Minnesota,50.8,49.2
Mississippi,40.9,59.1
Missouri,40.2,59.8
Montana,38.9,61.1
Nebraska,36.5,63.5
Nevada,51.3,48.7
New Hampshire,50.2,49.8
New Jersey,57.3,42.7
New Mexico,54.7,45.3
New York,61.8,38.2
North Carolina,48.1,51.9
North Dakota,30.2,69.8
Ohio,45.7,54.3
Oklahoma,30.7,69.3
Oregon,56.2,43.8
Pennsylvania,49.6,50.4
Rhode Island,58.3,41.7
South Carolina,42.5,57.5
South Dakota,34,66
Tennessee,36.4,63.6
Texas,45.3,54.7
Utah,37.6,62.4
Vermont,65.2,34.8
Virginia,52.8,47.2
Washington,58.8,41.2
West Virginia,27.8,72.2
Wisconsin,49.6,50.4
Wyoming,24.3,75.7
Washington DC,95.7,4.3
