,NAME,Registered Voters,Clinton,Trump,Wenzel,RF,RegionID,MedianHouseholdIncome
0,boonton boro,5670.0,2042.0,1817.0,1503.0,2039.0,27,79097.0
1,boonton twp,3483.0,989.0,1422.0,656.0,1654.0,28,117333.0
2,butler,5127.0,1333.0,2112.0,1056.0,2058.0,7,78614.0
3,chatham boro,6466.0,2707.0,1806.0,1820.0,2670.0,29,143281.0
4,chatham twp,8282.0,3057.0,2696.0,1935.0,3716.0,8,127679.0
5,denville,12991.0,4234.0,4980.0,2995.0,5664.0,48,103435.0
6,east hanover,8703.0,1886.0,4501.0,1404.0,4193.0,49,116528.0
7,florham park,8183.0,2548.0,3175.0,1780.0,3619.0,30,106227.0
8,hanover,10798.0,3071.0,4627.0,2009.0,5034.0,1,100962.0
9,harding,3433.0,969.0,1309.0,513.0,1769.0,50,168365.0
10,jefferson,14791.0,3716.0,6364.0,2832.0,6502.0,9,92095.0
11,kinnelon,8011.0,2127.0,3540.0,1480.0,3820.0,2,129664.0
12,lincoln park,7188.0,2141.0,2796.0,1628.0,2758.0,31,87530.0
13,madison,11073.0,4421.0,2980.0,3106.0,4175.0,32,106070.0
14,mendham boro,4126.0,1283.0,1445.0,821.0,1888.0,33,119787.0
15,mendham twp,5002.0,1603.0,1776.0,1050.0,2293.0,51,162125.0
16,montville,16154.0,4939.0,6440.0,3400.0,7100.0,52,119493.0
17,morris plains,4336.0,1628.0,1457.0,1090.0,1885.0,35,103688.0
18,morris twp,17619.0,6983.0,5147.0,4880.0,7029.0,34,132191.0
19,morristown,11060.0,4984.0,2033.0,3561.0,2795.0,53,64279.0
20,mountain lakes,3438.0,1300.0,1021.0,855.0,1436.0,36,155139.0
21,parsippany,34302.0,12291.0,10398.0,8907.0,11753.0,3,85760.0
22,pequannock,11879.0,3540.0,5090.0,2528.0,5292.0,46,84322.0
23,randolph,18760.0,6785.0,5968.0,4631.0,7433.0,10,123041.0
24,riverdale,3066.0,824.0,1307.0,626.0,1303.0,5,86328.0
25,rockaway boro,4406.0,1320.0,1646.0,937.0,1750.0,6,77861.0
26,rockaway twp,18080.0,5896.0,6790.0,4248.0,7437.0,47,95530.0
27,victory gardens,612.0,298.0,71.0,178.0,77.0,4,53269.0
28,bloomfield,17304.0,7187.0,3865.0,5718.0,3443.0,13,62831.0
29,caldwell,5702.0,1773.0,1604.0,1309.0,1674.0,14,76354.0
30,cedar grove,9568.0,2745.0,3785.0,1755.0,3018.0,15,95152.0
31,essex fells,1910.0,507.0,716.0,306.0,799.0,16,182031.0
32,fairfield,5798.0,1009.0,2858.0,671.0,2357.0,41,97361.0
33,livingston,22664.0,9052.0,5475.0,5970.0,6104.0,42,129208.0
34,montclair,9815.0,5589.0,931.0,4437.0,1284.0,18,95656.0
35,north caldwell,5332.0,1693.0,1814.0,1106.0,1935.0,19,151953.0
36,nutley,20990.0,6634.0,7061.0,4369.0,4998.0,20,76167.0
37,roseland,5440.0,1640.0,2023.0,1127.0,1968.0,21,100289.0
38,verona,11163.0,4199.0,3480.0,2837.0,3192.0,17,93839.0
39,west caldwell,8756.0,2774.0,3128.0,1886.0,3185.0,22,102584.0
40,west orange,23279.0,10947.0,3867.0,7578.0,3595.0,43,88917.0
41,bloomingdale,5397.0,1550.0,2104.0,1277.0,1964.0,40,79044.0
42,little falls,9870.0,3148.0,3090.0,2544.0,2696.0,23,78318.0
43,north haledon,6518.0,1613.0,3075.0,1236.0,2773.0,24,103562.0
44,pompton lakes,7671.0,2298.0,2824.0,1683.0,2593.0,0,88352.0
45,totowa,7616.0,1997.0,3336.0,1387.0,2975.0,11,72568.0
46,wanaque,7835.0,2345.0,3024.0,1802.0,2657.0,38,89459.0
47,wayne,38390.0,11764.0,14639.0,8582.0,13281.0,39,100638.0
48,woodland park,9025.0,3077.0,2943.0,2408.0,2361.0,12,67250.0
49,byram,6088.0,1516.0,2830.0,1176.0,3021.0,44,103519.0
50,hopatcong,9948.0,2436.0,4276.0,2019.0,4300.0,37,85730.0
51,ogdensburg,1597.0,351.0,744.0,293.0,744.0,45,78333.0
52,sparta,14996.0,4061.0,6325.0,3021.0,7009.0,25,112699.0
53,stanhope,2529.0,743.0,1036.0,604.0,1072.0,26,78625.0
